Datetime,Water Level (m)
2024-02-18 06:00:00,-0.65358204
2024-02-18 07:00:00,-0.45944276
2024-02-18 08:00:00,-0.2424339
2024-02-18 09:00:00,-0.051642492
2024-02-18 10:00:00,0.086401306
2024-02-18 11:00:00,0.16293052
2024-02-18 12:00:00,0.14798121
2024-02-18 13:00:00,0.010807576
2024-02-18 14:00:00,-0.20537731
2024-02-18 15:00:00,-0.41009876
2024-02-18 16:00:00,-0.5589599
2024-02-18 17:00:00,-0.6437535
2024-02-18 18:00:00,-0.67874354
2024-02-18 19:00:00,-0.6570498
2024-02-18 20:00:00,-0.5836231
2024-02-18 21:00:00,-0.46751294
2024-02-18 22:00:00,-0.36943015
2024-02-18 23:00:00,-0.3054468
2024-02-19 00:00:00,-0.278675
2024-02-19 01:00:00,-0.3031726
2024-02-19 02:00:00,-0.42996475
2024-02-19 03:00:00,-0.61489516
2024-02-19 04:00:00,-0.76962507
2024-02-19 05:00:00,-0.84539396
2024-02-19 06:00:00,-0.825689
2024-02-19 07:00:00,-0.7305934
2024-02-19 08:00:00,-0.56144756
2024-02-19 09:00:00,-0.34373748
2024-02-19 10:00:00,-0.13583529
2024-02-19 11:00:00,0.025949206
2024-02-19 12:00:00,0.1471461
2024-02-19 13:00:00,0.20588933
2024-02-19 14:00:00,0.14991842
2024-02-19 15:00:00,-0.06665374
2024-02-19 16:00:00,-0.33290645
2024-02-19 17:00:00,-0.5738452
2024-02-19 18:00:00,-0.74348557
2024-02-19 19:00:00,-0.82976097
2024-02-19 20:00:00,-0.8106484
2024-02-19 21:00:00,-0.7113171
2024-02-19 22:00:00,-0.5566719
2024-02-19 23:00:00,-0.37565488
2024-02-20 00:00:00,-0.2525314
2024-02-20 01:00:00,-0.17676997
2024-02-20 02:00:00,-0.16925552
2024-02-20 03:00:00,-0.27349228
2024-02-20 04:00:00,-0.5039215
2024-02-20 05:00:00,-0.72961825
2024-02-20 06:00:00,-0.85629934
2024-02-20 07:00:00,-0.88129807
2024-02-20 08:00:00,-0.80302775
2024-02-20 09:00:00,-0.623969
2024-02-20 10:00:00,-0.3630736
2024-02-20 11:00:00,-0.107733674
2024-02-20 12:00:00,0.083925776
2024-02-20 13:00:00,0.2421435
2024-02-20 14:00:00,0.31877798
2024-02-20 15:00:00,0.24979119
2024-02-20 16:00:00,-0.011164504
2024-02-20 17:00:00,-0.3468412
2024-02-20 18:00:00,-0.6423237
2024-02-20 19:00:00,-0.85301673
2024-02-20 20:00:00,-0.9520907
2024-02-20 21:00:00,-0.89732534
2024-02-20 22:00:00,-0.7447333
2024-02-20 23:00:00,-0.5208301
2024-02-21 00:00:00,-0.28351748
2024-02-21 01:00:00,-0.12527093
2024-02-21 02:00:00,-0.04207057
2024-02-21 03:00:00,-0.048838228
2024-02-21 04:00:00,-0.20226076
2024-02-21 05:00:00,-0.49722013
2024-02-21 06:00:00,-0.7803259
2024-02-21 07:00:00,-0.9444538
2024-02-21 08:00:00,-0.97539884
2024-02-21 09:00:00,-0.85217994
2024-02-21 10:00:00,-0.61096776
2024-02-21 11:00:00,-0.29431346
2024-02-21 12:00:00,0.008899173
2024-02-21 13:00:00,0.23187731
2024-02-21 14:00:00,0.39615157
2024-02-21 15:00:00,0.44609964
2024-02-21 16:00:00,0.2962445
2024-02-21 17:00:00,-0.07290196
2024-02-21 18:00:00,-0.46985754
2024-02-21 19:00:00,-0.7897886
2024-02-21 20:00:00,-0.99196887
2024-02-21 21:00:00,-1.0481001
2024-02-21 22:00:00,-0.9130636
2024-02-21 23:00:00,-0.66821426
2024-02-22 00:00:00,-0.35752764
2024-02-22 01:00:00,-0.09810476
2024-02-22 02:00:00,0.050081506
2024-02-22 03:00:00,0.11176033
2024-02-22 04:00:00,0.04057916
2024-02-22 05:00:00,-0.22325356
2024-02-22 06:00:00,-0.5728186
2024-02-22 07:00:00,-0.88132155
2024-02-22 08:00:00,-1.0420268
2024-02-22 09:00:00,-1.0528347
2024-02-22 10:00:00,-0.8500181
2024-02-22 11:00:00,-0.53531706
2024-02-22 12:00:00,-0.1697836
2024-02-22 13:00:00,0.17069015
2024-02-22 14:00:00,0.39611802
2024-02-22 15:00:00,0.5325728
2024-02-22 16:00:00,0.50021714
2024-02-22 17:00:00,0.21804191
2024-02-22 18:00:00,-0.24282944
2024-02-22 19:00:00,-0.66997993
2024-02-22 20:00:00,-0.97578263
2024-02-22 21:00:00,-1.1214907
2024-02-22 22:00:00,-1.0887702
2024-02-22 23:00:00,-0.83812124
2024-02-23 00:00:00,-0.5065856
2024-02-23 01:00:00,-0.17048746
2024-02-23 02:00:00,0.06373114
2024-02-23 03:00:00,0.18292242
2024-02-23 04:00:00,0.20329666
2024-02-23 05:00:00,0.01889078
2024-02-23 06:00:00,-0.36805236
2024-02-23 07:00:00,-0.77494204
2024-02-23 08:00:00,-1.0437917
2024-02-23 09:00:00,-1.1536244
2024-02-23 10:00:00,-1.0408177
2024-02-23 11:00:00,-0.75447
2024-02-23 12:00:00,-0.36883453
2024-02-23 13:00:00,0.029783301
2024-02-23 14:00:00,0.32895482
2024-02-23 15:00:00,0.5281022
2024-02-23 16:00:00,0.5959258
2024-02-23 17:00:00,0.4448772
2024-02-23 18:00:00,0.0128029585
